isbn,title,author,publisher,published_year,genre,description,cover_image_url,lang
9798659120,Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,1972,Art; Fiction; History; Science,Bumi manusia,https://covers.openlibrary.org/b/id/6643692-L.jpg,id
9.79E+12,Matahari,Tere Liye,Gramedia Pustaka Utama,2016,Fantasy; Fiction,"Namanya Ali, 15 tahun, kelas X. Jika saja orangtuanya mengizinkan, seharusnya dia sudah duduk di tingkat akhir ilmu fisika program doktor di universitas ternama. Ali tidak menyukai sekolahnya, guru-gurunya, teman-teman sekelasnya. Semua membosankan baginya.Tapi sejak dia mengetahui ada yang aneh pada diriku dan Seli, teman sekelasnya, hidupnya yang membosankan berubah seru. Aku bisa menghilang, dan Seli bisa mengeluarkan petir.Ali sendiri punya rahasia kecil. Dia bisa berubah menjadi beruang raksasa. Kami bertiga kemudian bertualang ke tempat-tempat menakjubkan. Namanya Ali. Dia tahu sejak dulu dunia ini tidak sesederhana yang dilihat orang. Dan di atas segalanya, dia akhirnya tahu persahabatan adalah hal yang paling utama.",https://covers.openlibrary.org/b/id/10956534-L.jpg,id
9.79E+12,Islam sebagai Dasar Negara,Mohammad Natsir,Gema Insani,2022,Politics,"Islam dan negara kadang menjadi diskursus yang menuai beragam reaksi, positif ataupun negatif. Tidak jarang, dua kata ini (Islam dan negara) memicu perdebatan panas, baik di kalangan Muslim maupun non-Muslim. Bahkan, ada dari kalangan Muslim sendiri yang merasa apriori dan fobia terhadap diksi Islam, apalagi bila disandingkan dengan diksi negara. Buku Islam sebagai Dasar Negara merupakan kumpulan pidato M. Natsir yang menyikapi persoalan Islam sebagai dasar negara, terutama di negeri ini. Dengan lugas dan cerdas, M. Natsir mengemukakan alasan dan pandangan logis atas â€œterabaikannyaâ€ aspirasi mayoritas bangsa ini (umat Islam) dalam perumusan dan pembentukan dasar dan falsafah negara ini. Begitu pun dalam konteks internasional, M. Natsir menyuarakan pandangannya terhadap upaya-upaya pelabelan negatif terhadap Islam sebagai dasar negara.",https://covers.openlibrary.org/b/id/13149882-L.jpg,id
9.79E+12,Rumah van Sander,Ariya Gesang,Bhuana Ilmu Populer,2026,Fiction; Horror,"Rumah van Sander, sebuah rumah misterius yang terletak di tengah hutan Desa Bukit Kabut. Bangunan tua yang tak pernah benar-benar ditinggalkan. Konon, rumah itu adalah tempat bersemayam Wangkara, makhluk legenda yang namanya tidak boleh disebut lantang. Sekali namanya disebut, mereka akan mengundang malapetaka. Aiwa Diajeng mengira kepindahannya ke Desa Bukit Kabut adalah awal hidup baru yang nyaman. Hari-hari Ai yang awalnya terasa aman, kini tinggallah angan. Di desa yang menyimpan rahasia dan kabut yang tak pernah benar-benar menghilang, Ai dipaksa menghadapi kengerian yang tak terkirakan. ",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/mr3aun1r6c.jpeg,id
9.79E+12,Mukena Mendiang,Ira Madan,Penerbit Kita,2026,Fiction; Horror,"Wanita berusia tiga puluh tahun yang lelah hidup dalam keterbatasan, terobsesi pada kekayaan mutlak. Obsesinya mencapai titik didih. Jalan yang ia tempuh adalah dengan menjadi peruqyah. Ambisi terbesarnya, mendirikan Rumah Ayat, sebuah lembaga kesehatan syar’i menyerupai rumah sakit. Meskipun dicap setengah gila oleh banyak orang, metodenya menghasilkan keajaiban yang menggemparkan. Zara sukses membuat si bisu bicara dan si lumpuh berjalan. ""MUKENA MENDIANG"" adalah kisah horor psikologis yang mengungkap batas tipis antara keyakinan, ambisi, dan kegelapan tak terduga. Tentang seorang wanita yang mempertaruhkan jiwanya demi menguasai mukjizat.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/dm6a359121.png,id
9.79E+12,Perintah dari Kubur,H. K. Harahap,Elex Media Komputindo,2026,Fiction; Horror,"Bagi sang Wali Kota, kekuasaan adalah segalanya. Selama menjabat, ia merasa bisa mengatur hukum, menggusur rakyat kecil, dan menimbun pundi-pundi kekayaan dengan satu goresan pena. Namun, maut tidak mengenal suap. Kini, ia terbangun bukan di kursi empuk kantornya, melainkan terbungkus kain kafan yang pengap—menjadi sesosok pocong. Mencoba melakukan ""negosiasi"" terakhir dengan Munkar dan Nakir demi tiket ke surga, Pak Wali justru diberi tugas yang lebih berat dari kampanye mana pun: Ia harus mendapatkan maaf tulus dari setiap jiwa yang pernah ia injak. Berharap pada sang istri yang dulu paling setia mendampingi, Pak Wali justru menemukan kenyataan pahit. Alih-alih membantu, sang istri ternyata telah lama menanti kematiannya dan kini memimpin perburuan untuk membinasakannya selamanya. Di dunia ia dipuja, di akhirat ia diburu. Blusukan terakhir Pak Wali baru saja dimulai, dan kali ini, nyawa taruhannya—untuk kedua kalinya.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/-72zd6-vai.jpg,id
9.79E+12,Rumah Tusuk Sate,Heri Widianto,Penerbit Buku Abdi,2026,Fiction; Horror,"Deskripsi Rumah indekos bertingkat yang tepat berada di ujung gang itu kini tak lagi mendatangkan rasa nyaman bagi para penghuninya. Seolah menunggu giliran, setiap dari mereka diteror ketakutan akan hal yang tak kasat mata. Memang. Harinya hampir tiba. “Dia” hadir untuk menagih tumbal nyawa.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/8ts0-4r06e.jpg,id
9.79E+12,Novel: Tentang Ziarah yang Terkutuk,Sesuji,Phoenix Gramedia Indonesia,2026,Fiction; Horror,"Kobayashi, seorang editor lepas, mengajukan sebuah proposal ke penerbit berupa rencana pembuatan fanbook untuk kanal Occult Yankee milik YouTuber penjelajah tempat angker, Chanike (alias Ikeda). Namun, jumlah subscriber kanal Occult Yankee masih dirasa kurang meyakinkan sehingga persetujuan untuk proposal itu masih sulit untuk didapatkan. Demi menutupi kekurangan tersebut, Kobayashi dan Ikeda memutuskan untuk membuat konten fanbook yang lebih menarik. Mereka pun mengumpulkan data tambahan dari tempat-tempat angker yang pernah dibahas dalam video Chanike sebelumnya. Berdasarkan informasi yang me­re­­ka kumpulkan dari internet dan sumber lain, Kobayashi dan Ikeda mulai mengarang berbagai teori yang sekiranya akan disukai oleh pembaca.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/it7ee1--9c.jpg,id
9.79E+12,Tan Malaka : Menuju Republik Indonesia,Tan Malaka,Penerbit GDN,2025,Biography; History; Politics,"Ditulis dalam pemenjaraan pada 1925, Menuju Republik Indonesia adalah manifesto politik Tan Malaka yang jauh mendahului proklamasi kemerdekaan. Dengan analisis tajam tentang kolonialisme Belanda, situasi global, dan strategi perjuangan rakyat, Tan Malaka menegaskan bahwa republik bukan hadiah, melainkan hasil kesadaran dan organisasi kolektif. Edisi Penerbit GDN ini menghadirkan teks dengan bahasa yang diperbarui agar akrab bagi pembaca masa kini, serta dilengkapi dengan resonansi dari Airlangga Pribadi Kusman. Resonansi ini menegaskan arti penting karya Tan Malaka sebagai naskah monumental yang menempatkan perjuangan Indonesia dalam kaitannya dengan dinamika kapitalisme-imperialisme global, sekaligus membuka ruang dialog bagi tantangan republik hari ini.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/meizej-l--.jpg,id
9.79E+12,"Robert, anak Surapati",Abdoel Moeis,Balai Pustaka,1982,Fiction; History; Literature,"Anak Pungut Seorang Bangsawan Van Reijn adalah seorang yang sangat kaya, dapat di bilang ia adalah seorang bangsawan. Ia bertempat tinggal di negeri Inggris. Dia harus pindah ke Indonesia karena ada urusan dengan pekerjaan nya di Indonesia. Istri dari bangsawan kaya itu, memiliki sifat yang mulia, begitu-pun dengan bangsawan kaya itu. Mereka dikenal sebagai pasangan suami istri yang kaya, mudah bergaul, suka menolong, dan juga ramah. Masyarakat sangat menerima keadaan mereka, tidak seperti adik dari Van Reijn yang gila akan harta. Sudah 4 tahun menikah, pasangan itu masih belum di karuniai kehadiran seorang anak diantara mereka. Suatu ketika, ia menemukan sepasang suami istri yang keadaan nya memprihatinkan. Van Reijn sangat ingin membantu pasangan itu. Setelah dibicarakan bersama, akhir nya bangsawan baik itu memungut bayi mereka untuk membantu meringankan beban pasangan itu. Robert. Sekarang itulah nama anak itu. Van Reijn dan istri-nya sangat menyayangi Robert sepenuh hati. Tetapi, alangkah buruk-nya, Robert menjadi anak yang nakal. Saat Robert ber-usia 13 tahun, istri Van Reijn meninggal. Robert terlihat sangat terpukul. Sejak kejadian itu, Robert tidak mau lagi mendengarkan perintah-perintah ayah-nya. Dan ia-pun menjadi salah pergaulan. Van Reijn merasa lelah dengan tingkah laku Robert. Ia-pun jatuh sakit. Sejak itu, Robert baru mulai perduli dengan ayah-nya yang sakit-sakitan itu. Pada suatu acara, Robert menemukan wanita yang dapat memenuhi hati-nya, demikian dengan wanita itu. Wanita itu meminta Robert untuk menjauhi pergaulan-nya yang tidak benar. Ayah-nya pun meninggal dunia. Robert sangat terkejut. Dengan kejadian itu, ia-pun harus merasakan kehilangan orang yang menyayangi-nya untuk kedua kali. Pada akhir-nya, kekayaan ayah-nya jatuh ke- tangan Robert setelah banyak rintangan yang telah dilewatinya.",https://covers.openlibrary.org/b/id/6016220-L.jpg,id
