isbn,title,authors,publisher,published_year,description,cover_image_url,genre
9.78979E+12,Laskar Pelangi,Andrea Hirata,Bentang Pustaka,2005,"Novel yang mengisahkan perjuangan sepuluh anak dari keluarga miskin di Belitung yang bersemangat menuntut ilmu di sekolah Muhammadiyah yang hampir roboh. Kisah persahabatan, mimpi, dan keajaiban hidup yang menginspirasi jutaan pembaca.",https://books.google.com/books/content?id=bvdPAQAAIAAJ&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Bumi Manusia,Pramoedya Ananta Toer,Hasta Mitra,1980,"Novel pertama dari Tetralogi Buru karya Pramoedya Ananta Toer. Mengisahkan Minke, pemuda pribumi terpelajar pada masa kolonial Belanda, dan cintanya kepada Annelies Mellema, putri seorang nyai. Sebuah karya monumental tentang kebangkitan nasionalisme Indonesia.",https://books.google.com/books/content?id=4kxuAAAAMAAJ&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Negeri 5 Menara,Ahmad Fuadi,Gramedia Pustaka Utama,2009,Novel yang terinspirasi dari kisah nyata tentang kehidupan di pesantren modern Gontor. Mengikuti perjalanan Alif dan lima sahabatnya yang bermimpi menaklukkan dunia dengan berbekal mantera man jadda wajada.,https://books.google.com/books/content?id=7ALYAAAAQBAJ&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Perahu Kertas,Dewi Lestari,Bentang Pustaka,2009,"Novel tentang Kugy dan Keenan, dua jiwa muda yang berbeda namun terhubung oleh cinta dan seni. Mengeksplorasi tema persahabatan, cinta yang tertunda, dan perjuangan mengikuti panggilan hati dalam dunia yang penuh ekspektasi.",https://books.google.com/books/content?id=gfPQAAAAMAAJ&printsec=frontcover&img=1&zoom=1,Fiction
9.78602E+12,Pulang,Tere Liye,Republika Penerbit,2015,"Novel tentang Bujang, seorang anak dari pedalaman Sumatera yang tumbuh menjadi bagian dari organisasi bawah tanah paling ditakuti. Kisah penuh aksi tentang kesetiaan, pengkhianatan, dan perjalanan menemukan jati diri.",https://books.google.com/books/content?id=pulang_tereliye&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Ayat-Ayat Cinta,Habiburrahman El Shirazy,Republika Penerbit,2004,"Novel islami yang mengisahkan perjalanan hidup Fahri bin Abdullah Shiddiq, mahasiswa Indonesia di Universitas Al-Azhar Kairo, Mesir. Menggambarkan pergulatan cinta, iman, dan tantangan hidup di negeri orang dengan latar budaya Islam yang kental.",https://books.google.com/books/content?id=ayat_ayat_cinta&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Ronggeng Dukuh Paruk,Ahmad Tohari,Gramedia Pustaka Utama,1982,"Novel yang mengisahkan kehidupan Srintil, seorang penari ronggeng dari dukuh terpencil di Jawa Tengah. Memotret kehidupan masyarakat desa, tradisi lokal, dan pergolakan politik Indonesia di tahun 1960-an dengan sangat manusiawi.",https://books.google.com/books/content?id=ronggeng_dukuh&printsec=frontcover&img=1&zoom=1,Fiction
9.78979E+12,Sunshine Becomes You,Ilana Tan,Gramedia Pustaka Utama,2010,"Novel romansa tentang Rayne Brady, penari balet, yang secara tidak sengaja mencederai Alex Hirano, pianis terkenal. Kecelakaan kecil itu mempertemukan dua hati yang berbeda namun saling melengkapi dalam kisah cinta yang manis dan mengharukan.",https://books.google.com/books/content?id=sunshine_you&printsec=frontcover&img=1&zoom=1,Romance
9.78979E+12,Autumn in Paris,Ilana Tan,Gramedia Pustaka Utama,2006,Kisah cinta antara Tara Dupont dan Stephane Dechamps yang berlatar belakang kota Paris yang romantis. Novel ini memadukan keindahan budaya Prancis dengan kompleksitas perasaan dua insan yang mencari arti cinta dan kebahagiaan sejati.,https://books.google.com/books/content?id=autumn_paris&printsec=frontcover&img=1&zoom=1,Romance
9.78602E+12,Dear Nathan,Erisca Febriani,Best Media,2016,"Novel romansa remaja tentang Salma, gadis penurut yang tak sengaja berkenalan dengan Nathan, siswa badung paling ditakuti di sekolah. Kisah cinta yang penuh kejutan, tawa, dan pelajaran tentang menerima seseorang apa adanya.",https://books.google.com/books/content?id=dear_nathan&printsec=frontcover&img=1&zoom=1,Romance
9.78602E+12,Dilan: Dia adalah Dilanku Tahun 1990,Pidi Baiq,Pastel Books,2014,"Novel romansa berlatar Bandung tahun 1990-an yang mengisahkan kisah cinta Milea dan Dilan, seorang anggota geng motor yang jenaka dan romantis. Ditulis dengan gaya bahasa sederhana namun penuh perasaan yang membuat pembaca larut dalam nostalgia.",https://books.google.com/books/content?id=dilan_1990&printsec=frontcover&img=1&zoom=1,Romance
9.78979E+12,Winter in Tokyo,Ilana Tan,Gramedia Pustaka Utama,2008,"Novel romansa berlatar Tokyo yang mengisahkan Keiko Ishida dan Nishimura Kazuto yang menjadi tetangga apartemen. Kisah cinta yang berkembang pelan di tengah suasana musim dingin Tokyo, dengan sentuhan budaya Jepang yang kaya.",https://books.google.com/books/content?id=winter_tokyo&printsec=frontcover&img=1&zoom=1,Romance
9.78602E+12,Cinta Laki-Laki Biasa,Asma Nadia,Republika Penerbit,2015,"Novel islami tentang Reva, wanita karir sukses yang terlanjur memiliki standar tinggi untuk pasangan hidup, hingga bertemu dengan Rafli, seorang pria sederhana yang mencintainya dengan tulus. Mengajarkan makna cinta yang sesungguhnya.",https://books.google.com/books/content?id=cinta_laki_biasa&printsec=frontcover&img=1&zoom=1,Romance
9.78979E+12,Summer in Seoul,Ilana Tan,Gramedia Pustaka Utama,2007,"Novel romansa berlatar kota Seoul yang mengisahkan Sandy alias Jung Soo-Yeon, gadis keturunan Korea-Indonesia, yang bertemu dengan bintang pop terkenal Jung Tae-Yang. Kisah cinta yang berkembang di antara perbedaan dunia dan harapan.",https://books.google.com/books/content?id=summer_seoul&printsec=frontcover&img=1&zoom=1,Romance
9.78979E+12,Dongeng Sebelum Tidur,Seno Gumira Ajidarma,Gramedia Pustaka Utama,2012,"Kumpulan cerita pendek bergaya dongeng yang ditulis untuk dibacakan kepada anak sebelum tidur. Setiap cerita mengandung pesan moral yang dikemas dalam narasi yang imajinatif, penuh warna, dan mudah dipahami oleh anak-anak.",https://books.google.com/books/content?id=dongeng_tidur&printsec=frontcover&img=1&zoom=1,Children
