book_id,isbn,title,authors,publisher,published_year,genre,description,cover_image_url
B00732,9789871427291,"The Complete Sherlock Holmes [4 novels, 56 stories]",Arthur Conan Doyle,Diada,2023,Adventure; Fiction,Contains: - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL262421W/The_Adventures_of_Sherlock_Holmes)[Scandal in Bohemia](https://openlibrary.org/works/OL14930611W/A_Scandal_in_Bohemia)[Red-Headed League](https://openlibrary.org/works/OL262476W/The_Red-Headed_League)[Case of Identity](https://openlibrary.org/works/OL14929939W/A_Case_of_Identity)[Boscombe Valley Mystery](https://openlibrary.org/works/OL18495288W/The_Boscombe_Valley_Mystery)[Five Orange Pips](https://openlibrary.org/works/OL1518120W/Five_Orange_Pips)[Man with the Twisted Lip](https://openlibrary.org/works/OL14930258W/Man_With_the_Twisted_Lip)[Adventure of the Blue Carbuncle](https://openlibrary.org/works/OL1518317W/Adventure_of_the_Blue_Carbuncle)[Adventure of the Speckled Band](https://openlibrary.org/works/OL262561W/Adventure_of_the_Speckled_Band)[Adventure of the Engineer's Thumb](https://openlibrary.org/works/OL1518318W/Adventure_of_the_Engineer's_Thumb)[Adventure of the Noble Bachelor](https://openlibrary.org/works/OL14929841W/Adventure_of_the_Noble_Bachelor)[Adventure of the Beryl Coronet](https://openlibrary.org/works/OL14929825W/Adventure_of_the_Beryl_Coronet)[Adventure of the Copper Beeches](https://openlibrary.org/works/OL1518116W/Adventure_of_the_Copper_Beeches) - Case-Book of Sherlock Holmes - His Last Bow - [Hound of the Baskervilles](https://openlibrary.org/works/OL262454W) - [Memoirs of Sherlock Holmes](https://openlibrary.org/works/OL262598W/Memoirs_of_Sherlock_Holmes) [11 stories][Silver Blaze](https://openlibrary.org/works/OL1518358W/Silver_Blaze)[Adventure of the Yellow Face](https://openlibrary.org/works/OL20571966W/Adventure_of_the_Yellow_Face)[Adventure of the Stockbroker's Clerk](https://openlibrary.org/works/OL20619319W/Adventure_of_the_Stockbroker's_Clerk)[Adventure of the Gloria Scott](https://openlibrary.org/works/OL20619337W/Adventure_of_the_Gloria_Scott)[Adventure of the Musgrave Ritual](https://openlibrary.org/works/OL20619374W/Adventure_of_the_Musgrave_Ritual)Adventure of the Reigate SquireCrooked ManAdventure of the Resident PatientAdventure of the Greek Interpreter[Naval Treaty](https://openlibrary.org/works/OL14930289W/The_Naval_Treaty)Final Problem - [Return of Sherlock Holmes](https://openlibrary.org/works/OL262480W/The_Return_of_Sherlock_Holmes)[Adventure of the Empty House](https://openlibrary.org/works/OL1518119W/The_Adventure_of_the_Empty_House)[Adventure of the Norwood Builder](https://openlibrary.org/works/OL262418W/Adventure_of_the_Norwood_Builder)[Dancing Men](https://openlibrary.org/works/OL262417W/The_Dancing_Men)[Adventure of the Solitary Cyclist](https://openlibrary.org/works/OL1518122W/Adventure_of_the_Solitary_Cyclist)[Adventure of the Priory School](https://openlibrary.org/works/OL1518319W/Adventure_of_the_Priory_School)Black Peter[Adventure of Charles Augustus Milverton](https://openlibrary.org/works/OL20621973W/Adventure_of_Charles_Augustus_Milverton)[Six Napoleons](https://openlibrary.org/works/OL20628495W)[Adventure of the Three Students](https://openlibrary.org/works/OL1518368W/Adventure_of_the_Three_Students)[Adventure of the Golden Pince-Nez](https://openlibrary.org/works/OL18191848W/Adventure_of_the_Golden_Pince-Nez)[Adventure of the Missing Three-Quarter](https://openlibrary.org/works/OL18191816W/Adventure_of_the_Missing_Three_Quarter)[Adventure of the Abbey Grange](https://openlibrary.org/works/OL17084226W/Adventure_of_the_Abbey_Grange)[Second Stain](https://openlibrary.org/works/OL18191864W/Second_Stain) - [Sign of Four](https://openlibrary.org/works/OL262585W/The_Sign_of_Four) - [Study in Scarlet](https://openlibrary.org/works/OL16290253W/A_Study_in_Scarlet) - Valley of Fear,https://covers.openlibrary.org/b/id/12501284-L.jpg
B00646,9798596425215,Dubliners,James Joyce,James Joyce,2024,Fiction; Art,"James Joyce's disillusion with the publication of Dubliners in 1914 was the result of ten years battling with publishers, resisting their demands to remove swear words, real place names and much else, including two entire stories. Although only 24 when he signed his first publishing contract for the book, Joyce already knew its worth: to alter it in any way would 'retard the course of civilisation in Ireland'. Joyce's aim was to tell the truth -- to create a work of art that would reflect life in Ireland at the turn of the last century. By rejecting euphemism, he would reveal to the Irish the unromantic reality, the recognition of which would lead to the spiritual liberation of the country. Each of the fifteen stories offers a glimpse of the lives of ordinary Dubliners -- a death, an encounter, an opportunity not taken, a memory rekindled -- and collectively they paint a portrait of a nation. - Back cover.Dubliners is a collection of vignettes of Dublin life at the end of the 19th Century written, by Joyce's own admission, in a manner that captures some of the unhappiest moments of life. Some of the dominant themes include lost innocence, missed opportunities and an inability to escape one's circumstances.Joyce's intention in writing Dubliners, in his own words, was to write a chapter of the moral history of his country, and he chose Dublin for the scene because that city seemed to him to be the centre of paralysis. He tried to present the stories under four different aspects: childhood, adolescence, maturity and public life.'The Sisters', 'An Encounter' and 'Araby' are stories from childhood. 'Eveline', 'After the Race', 'Two Gallants' and 'The Boarding House' are stories from adolescence. 'A Little Cloud', 'Counterparts', 'Clay' and 'A Painful Case' are all stories concerned with mature life. Stories from public life are 'Ivy Day in the Committee Room' and 'A Mother and Grace'. 'The Dead' is the last story in the collection and probably Joyce's greatest. It stands alone and, as the title would indicate, is concerned with death.----------Contains[Sisters](https://openlibrary.org/works/OL15073389W/The_Sisters)[Encounter](https://openlibrary.org/works/OL15073256W)[Araby](https://openlibrary.org/works/OL20570121W)[Eveline](https://openlibrary.org/works/OL15073302W)[After the Race](https://openlibrary.org/works/OL18179262W)[Two Gallants](https://openlibrary.org/works/OL20570300W)[Boarding House](https://openlibrary.org/works/OL15073259W/The_Boarding_House)[Little Cloud](https://openlibrary.org/works/OL18179222W)[Counterparts](https://openlibrary.org/works/OL20570464W)[Clay](https://openlibrary.org/works/OL18179205W)[A Painful Case](https://openlibrary.org/works/OL5213767W)[Ivy Day In the Committee Room](https://openlibrary.org/works/OL20571820W)[Mother](https://openlibrary.org/works/OL18179244W)[Grace](https://openlibrary.org/works/OL15073323W)[Dead](https://openlibrary.org/works/OL15073437W/The_Dead)----------Also contained in: - [Dubliners / Portrait of the Artist as a Young Man](https://openlibrary.org/works/OL15073371W/Dubliners_Portrait_of_the_Artist_as_a_Young_Man) - [Essential James Joyce](https://openlibrary.org/works/OL86338W/The_Essential_James_Joyce) - [Portable James Joyce](https://openlibrary.org/works/OL86334W/The_Portable_James_Joyce)",https://covers.openlibrary.org/b/id/8216412-L.jpg
B00701,9781587020414,The Adventure of the Speckled Band,Arthur Conan Doyle,Building Wings LLC,2021,Mystery; Children; Fiction,"The Adventure of the Speckled Band (SPEC) is a short story written by Arthur Conan Doyle first published in The Strand Magazine in february 1892. This is the 10th Sherlock Holmes story. Collected in The Adventures of Sherlock Holmes.----------Also contained in: - [21 Great Stories](https://openlibrary.org/works/OL5272353W) - [65 Great Spine Chillers](https://openlibrary.org/works/OL4113986W) - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL262421W/The_Adventures_of_Sherlock_Holmes) - [Bedside Book of Famous British Stories](https://openlibrary.org/works/OL12844W) - [Best of Sherlock Holmes](https://openlibrary.org/works/OL262571W) - [Boys' Sherlock Holmes](https://openlibrary.org/works/OL8696809W) - [Casebook of Sherlock Holmes](https://openlibrary.org/works/OL18193108W) - [Century of Detection](https://openlibrary.org/works/OL20461540W) - [Classic Adventures of Sherlock Holmes](https://openlibrary.org/works/OL14929956W) - [Extraordinary Cases of Sherlock Holmes](https://openlibrary.org/works/OL14930075W) - [Favorite Sherlock Holmes Detective Stories](https://openlibrary.org/works/OL1518175W) - [Fiction 100](https://openlibrary.org/works/OL18160158W) - [Fictions](https://openlibrary.org/works/OL17733654W) - [Fireside Reader](https://openlibrary.org/works/OL16057038W) - [Librivox Short Story Collection 007](https://openlibrary.org/works/OL24977897W) - [Literature](https://openlibrary.org/works/OL20538101W) - [Obras completas de Conan Doyle: II](https://openlibrary.org/works/OL20787319W) - [Oxford Book of Gothic Tales](https://openlibrary.org/works/OL2963651W) - [Pearson Literature: California: Reading and Language](https://openlibrary.org/works/OL24540813W) - [Prentice Hall: Literature Silver](https://openlibrary.org/works/OL7962755W) - [Prentice Hall Literature: Timeless Voices, Timeless Themes: Reader's Companion: Silver](https://openlibrary.org/works/OL24569568W) - [Prentice Hall Literature: Timeless Voices, Timeless Themes: Reader's Companion: Silver Level](https://openlibrary.org/works/OL24558357W) - [Prentice Hall Literature: Timeless Voices, Timeless Themes: Silver Level](https://openlibrary.org/works/OL16823929W) - [Quatre aventures de Sherlock Holmes](https://openlibrary.org/works/OL20942665W) - [Selected Adventures of Sherlock Holmes](https://openlibrary.org/works/OL1518403W) - [Sherlock Holmes: The Published Apocrypha](https://openlibrary.org/works/OL1518264W/Sherlock_Holmes) - [Sherlock Holmes Investigates](https://openlibrary.org/works/OL1518416W) - [Sherlock Holmes Mysteries](https://openlibrary.org/works/OL1518392W) - [Sherlock Holmes Reader](https://openlibrary.org/works/OL14930658W) - [Short Stories](https://openlibrary.org/works/OL7562666W) - [Six Great Sherlock Holmes Stories](https://openlibrary.org/works/OL1518361W) - [Some Adventures of Sherlock Holmes](https://openlibrary.org/works/OL24168603W) - [Tales of Sherlock Holmes](https://openlibrary.org/works/OL1518418W) - [Treasury of Sherlock Holmes](https://openlibrary.org/works/OL262548W) - [World of Mystery Fiction](https://openlibrary.org/works/OL6798057W)",https://covers.openlibrary.org/b/id/8517526-L.jpg
B00658,9798592928635,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,Arthur Conan Doyle,2023,Mystery,"The Adventures of Sherlock Holmes is a collection of twelve short stories by Arthur Conan Doyle, first published on 14 October 1892. It contains the earliest short stories featuring the consulting detective Sherlock Holmes, which had been published in twelve monthly issues of The Strand Magazine from July 1891 to June 1892. The stories are collected in the same sequence, which is not supported by any fictional chronology. The only characters common to all twelve are Holmes and Dr. Watson and all are related in first-person narrative from Watson's point of view.Contains:[Scandal in Bohemia](https://openlibrary.org/works/OL14930611W/A_Scandal_in_Bohemia)[Red-headed League](https://openlibrary.org/works/OL14930336W/The_Red-Headed_League)[Case of Identity](https://openlibrary.org/works/OL14929939W/A_Case_of_Identity)[Boscombe Valley Mystery](https://openlibrary.org/works/OL18495288W/The_Boscombe_Valley_Mystery)[Five Orange Pips](https://openlibrary.org/works/OL1518120W/Five_Orange_Pips)[Man with the Twisted Lip](https://openlibrary.org/works/OL14930258W/The_Man_With_the_Twisted_Lip)[Adventure of the Blue Carbuncle](https://openlibrary.org/works/OL1518317W/Adventure_of_the_Blue_Carbuncle)[Adventure of the Speckled Band](https://openlibrary.org/works/OL262561W/Adventure_of_the_Speckled_Band)[Adventure of the Engineer's Thumb](https://openlibrary.org/works/OL1518318W/Adventure_of_the_Engineer's_Thumb)[Adventure of the Noble Bachelor](https://openlibrary.org/works/OL14929841W/Adventure_of_the_Noble_Bachelor)[Adventure of the Beryl Coronet](https://openlibrary.org/works/OL14929825W/Adventure_of_the_Beryl_Coronet)[Adventure of the Copper Beeches](https://openlibrary.org/works/OL1518116W/Adventure_of_the_Copper_Beeches)----------Also contained in: - [Adventures and Memoirs of Sherlock Holmes](https://openlibrary.org/works/OL1518128W) - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL20624138W) - [Celebrated Cases of Sherlock Holmes](https://openlibrary.org/works/OL16076930W) - [Complete Sherlock Holmes](https://openlibrary.org/works/OL18188824W) - [Complete Sherlock Holmes: Volume I](https://openlibrary.org/works/OL14929975W) - [Illustrated Sherlock Holmes](https://openlibrary.org/works/OL1518342W) - [Obras completas de Conan Doyle: II](https://openlibrary.org/works/OL20787319W) - [Original Illustrated Sherlock Holmes](https://openlibrary.org/works/OL262528W) - [Original Illustrated 'Strand' Sherlock Holmes](https://openlibrary.org/works/OL262529W) - [Short Stories](https://openlibrary.org/works/OL18188661W) - [Works](https://openlibrary.org/works/OL16173818W) - [Works](https://openlibrary.org/works/OL14930383W)",https://covers.openlibrary.org/b/id/6717853-L.jpg
B00609,9785699874958,Beloved,Toni Morrison,Nan hai chu ban she,2023,Fiction; History,"Toni Morrison--author of Song of Solomon and Tar Baby--is a writer of remarkable powers: her novels, brilliantly acclaimed for their passion, their dazzling language and their lyric and emotional force, combine the unassailable truths of experience and emotion with the vision of legend and imagination. It is the story--set in post-Civil War Ohio--of Sethe, an escaped slave who has risked death in order to wrench herself from a living death; who has lost a husband and buried a child; who has borne the unthinkable and not gone mad: a woman of ""iron eyes and backbone to match."" Sethe lives in a small house on the edge of town with her daughter, Denver, her mother-in-law, Baby Suggs, and a disturbing, mesmerizing intruder who calls herself Beloved. Sethe works at ""beating back the past,"" but it is alive in all of them. It keeps Denver fearful of straying from the house. It fuels the sadness that has settled into Baby Suggs' ""desolated center where the self that was no self made its home."" And to Sethe, the past makes itself heard and felt incessantly: in memories that both haunt and soothe her...in the arrival of Paul D (""There was something blessed in his manner. Women saw him and wanted to weep""), one of her fellow slaves on the farm where she had once been kept...in the vivid and painfully cathartic stories she and Paul D tell each other of their years in captivity, of their glimpses of freedom...and, most powerfully, in the apparition of Beloved, whose eyes are expressionless at their deepest point, whose doomed childhood belongs to the hideous logic of slavery and who, as daughter, sister and seductress, has now come from the ""place over there"" to claim retribution for what she lost and for what was taken from her. Sethe's struggle to keep Beloved from gaining full possession of her present--and to throw off the long, dark legacy of her past--is at the center of this profoundly affecting and startling novel. But its intensity and resonance of feeling, and the boldness of its narrative, lift it beyond its particulars so that it speaks to our experience as an entire nation with a past of both abominable and ennobling circumstance. In Beloved, Toni Morrison has given us a great American novel. Toni Morrison was awarded the 1988 Pulitzer Prize in Literature for Beloved.",https://covers.openlibrary.org/b/id/8261367-L.jpg
B00754,9780318597157,The Adventure of the Blue Carbuncle,Arthur Conan Doyle,Simon & Schuster,2022,Fiction,The Adventure of the Blue Carbuncle (BLUE) is a short story written by Arthur Conan Doyle first published in The Strand Magazine in January 1892. This is the 9th Sherlock Holmes story. Collected in The Adventures of Sherlock Holmes.----------Also contained in: - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL262421W/The_Adventures_of_Sherlock_Holmes) - [Adventures of Sherlock Holmes](https://openlibrary.org/works/OL18191906W) - [Annotated Sherlock Holmes. 1/2](https://openlibrary.org/works/OL1518438W) - [Aventuras de Sherlock Holmes](https://openlibrary.org/works/OL18592569W) - [Avventure di Sherlock Holmes](https://openlibrary.org/works/OL18188726W) - [Bedside Conan Doyle](https://openlibrary.org/works/OL14929890W) - [Book of the Sleuth](https://openlibrary.org/works/OL2665281W) - [Boys' Sherlock Holmes](https://openlibrary.org/works/OL8696809W) - [Casebook of Sherlock Holmes](https://openlibrary.org/works/OL18193108W) - [Extraordinary Cases of Sherlock Holmes](https://openlibrary.org/works/OL14930075W) - [Favourite Sherlock Holmes Stories](https://openlibrary.org/works/OL16344900W) - [Mysteries of Sherlock Holmes](https://openlibrary.org/works/OL15548953W) - [Obras completas de Conan Doyle: II](https://openlibrary.org/works/OL20787319W) - [Quatre aventures de Sherlock Holmes](https://openlibrary.org/works/OL20942665W) - [Scandale en Bohême ](https://openlibrary.org/works/OL14930215W) - [Selected Adventures of Sherlock Holmes](https://openlibrary.org/works/OL1518403W) - [Sherlock Holmes](https://openlibrary.org/works/OL14929840W) - [Sherlock Holmes: Master Detective](https://openlibrary.org/works/OL14930421W) - [Sherlock Holmes Investigates](https://openlibrary.org/works/OL1518416W) - [Sherlock Holmes Mysteries](https://openlibrary.org/works/OL1518392W) - [Some Adventures of Sherlock Holmes](https://openlibrary.org/works/OL24168603W) - [Tales of Sherlock Holmes](https://openlibrary.org/works/OL1518418W) - [Treasury of Sherlock Holmes](https://openlibrary.org/works/OL262548W) - [Victorian Tales of Mystery and Detection](https://openlibrary.org/works/OL6320851W),https://covers.openlibrary.org/b/id/767108-L.jpg
B00406,9781952457586,A Kingdom of Flesh and Fire,Jennifer L. Armentrout,Unknown Publisher,2024,Fantasy; Romance; Fiction,"A Betrayal…Everything Poppy has ever believed in is a lie, including the man she was falling in love with. Thrust among those who see her as a symbol of a monstrous kingdom, she barely knows who she is without the veil of the Maiden. But what she does know is that nothing is as dangerous to her as him. The Dark One. The Prince of Atlantia. He wants her to fight him, and that's one order she's more than happy to obey. He may have taken her, but he will never have her.A Choice...Casteel Da'Neer is known by many names and many faces. His lies are as seductive as his touch. His truths as sensual as his bite. Poppy knows better than to trust him. He needs her alive, healthy, and whole to achieve his goals. But he's the only way for her to get what she wants-to find her brother Ian and see for herself if he has become a soulless Ascended. Working with Casteel instead of against him presents its own risks. He still tempts her with every breath, offering up all she's ever wanted. Casteel has plans for her. Ones that could expose her to unimaginable pleasure and unfathomable pain. Plans that will force her to look beyond everything she thought she knew about herself-about him. Plans that could bind their lives together in unexpected ways that neither kingdom is prepared for. And she's far too reckless, too hungry, to resist the temptation.A Secret…But unrest has grown in Atlantia as they await the return of their Prince. Whispers of war have become stronger, and Poppy is at the very heart of it all. The King wants to use her to send a message. The Descenters want her dead. The wolven are growing more unpredictable. And as her abilities to feel pain and emotion begin to grow and strengthen, the Atlantians start to fear her. Dark secrets are at play, ones steeped in the blood-drenched sins of two kingdoms that would do anything to keep the truth hidden. But when the earth begins to shake, and the skies start to bleed, it may already be too late.",https://covers.openlibrary.org/b/id/10360316-L.jpg
B00184,9798445995746,The Secret of Chimneys,Agatha Christie,Agatha Christie,2023,Mystery; Thriller; Fiction,"A bit of adventure and quick cash is all that good-natured drifter Anthony Cade is looking for when he accepts a messenger job from an old friend. It sounds so simple: deliver the provocative memoirs of a recently deceased European count to a London publisher. Little did Anthony suspect that a simple errand to deliver the manuscript on behalf of his friend would drop him right in the middle of an international conspiracy, and he begins to realize that it has placed him in serious danger. Why were Count Stylptich's memoirs so important? And what was ""King Victor"" really after? The parcel holds ore than scandalous royal secrets - because it contains a stash of letters that suggest blackmail. Someone would stop at nothing to prevent the monarchy being restored in faraway Herzoslovakia.Wherever ravishing Virginia Revel went, death seemed sure to follow. First her husband died. The next to perish was a foreign prince whose ruthless power was matched by his scandalous passions. Then a bungling blackmailer followed them into the grave. Murder, blackmail, stolen letters, and a fabulous missing jewel: all under the not always co-operative eyes of Scotland Yard and the Surete. All threads lead to Chimneys, one of England's historic country house estates, where a master murderer mingled with the aristocratic guests. Virginia could turn to only one person to prove her innocence and end her nightmare, and she could only pray that she had not put her life into the hands of the man who was out to take it....This novel was published in 1925 by Bodley Head in London, and by Dodd, Mead & Co. in New York. The Times Literary Supplement described it as ""a thick fog of mystery, cross purposes, and romance, which leads up to a most unexpected and highly satisfactory ending"".Chimneys was adapted by Christie as a stage play but was not performed until 2003, in Canada. It was filmed with the addition of Julia McKenzie as Miss Marple by ITV in 2009.",https://covers.openlibrary.org/b/id/12996574-L.jpg
B00299,9783962724542,Miss Marjoribanks,Margaret Oliphant,"Liese. Outside The Box, Andreas",2023,Fiction,"When Dr. Marjoribanks's wife dies, his teenage daughter makes it her purpose in life ""to be a comfort to dear papa."" At least, Lucilla thinks, ten years of such devotion might suffice, by which time she might have begun to ""go off."" But beneath this grand intention lies a yet more ambitious plan: to revolutionize the moribund and constricted social life of Carlingford. She is remarkably well-endowed for such an aspiration, being of able mind and otherwise ample proportions. As Lucilla's plans unfold, her Thursday evenings become a great success, and draw into her sphere characters whose lives now become deeply entwined with her own. Naturally, complications of various kinds arise leading to a crisis which taxes Lucilla's gifts and genius to the utmost. The novel falls into two distinct parts, for after this first phase of Lucilla's career reaches its denouement, Oliphant skips over ten years, to that very point at which Lucilla feared she would be ""going off."" Events in these more mature years of Miss Marjoribanks's life are set in the time corresponding roughly to that of Salem Chapel , an earlier work in the Chronicles of Carlingford . Modern appreciation of the novel rose with Q. D. Leavis's introduction to a 1969 reprint, in which he suggested that Oliphant is the ""missing link"" between Jane Austen and George Eliot . There is something about Lucilla that reminds the reader of Emma , and which informs the character of Dorothea who was to appear a few years after Miss Marjoribanks in Eliot's classic, Middlemarch . With its fine observations, fully realized characters, and sharp but dry humor, Miss Marjoribanks remains something of a neglected masterpiece of nineteenth century fiction. Yet as R. C. Terry writes in his book Victorian Popular Fiction , it is ""the most sophisticated and charming of the series, and a novel that can stand comparison with the best contemporary novels of its kind.""",https://covers.openlibrary.org/b/id/103433-L.jpg
B00733,9781412161473,The Return of Sherlock Holmes,Arthur Conan Doyle,eBooksLib,2023,General,"The Return of Sherlock Holmes is a 1905 collection of 13 Sherlock Holmes stories, originally published in 1903-1904, by Arthur Conan Doyle. The stories were published in the Strand Magazine in Britain and Collier's in the United States.Contains:[Adventure of the Empty House](https://openlibrary.org/works/OL1518119W/The_Adventure_of_the_Empty_House)[Adventure of the Norwood Builder](https://openlibrary.org/works/OL262418W/Adventure_of_the_Norwood_Builder)[Adventure of the Dancing Men](https://openlibrary.org/works/OL262417W/The_Dancing_Men)[Adventure of the Solitary Cyclist](https://openlibrary.org/works/OL1518122W/Adventure_of_the_Solitary_Cyclist)[Adventure of the Priory School](https://openlibrary.org/works/OL1518319W/Adventure_of_the_Priory_School)Black Peter[Adventure of Charles Augustus Milverton](https://openlibrary.org/works/OL20621973W/Adventure_of_Charles_Augustus_Milverton)[Six Napoleons](https://openlibrary.org/works/OL20628495W)[Adventure of the Three Students](https://openlibrary.org/works/OL1518368W/Adventure_of_the_Three_Students)[Adventure of the Golden Pince-Nez](https://openlibrary.org/works/OL18191848W/Adventure_of_the_Golden_Pince-Nez)[Adventure of the Missing Three-Quarter](https://openlibrary.org/works/OL18191816W/Adventure_of_the_Missing_Three_Quarter)[Adventure of the Abbey Grange](https://openlibrary.org/works/OL17084226W/Adventure_of_the_Abbey_Grange)[Second Stain](https://openlibrary.org/works/OL18191864W/Second_Stain)----------Also contained in:[Celebrated Cases of Sherlock Holmes](https://openlibrary.org/works/OL16076930W)[Illustrated Sherlock Holmes](https://openlibrary.org/works/OL1518342W)[Original Illustrated Sherlock Holmes](https://openlibrary.org/works/OL1518150W)[Original Illustrated Strand Sherlock Holmes](https://openlibrary.org/works/OL262529W)[Short Stories](https://openlibrary.org/works/OL14929977W)[Works](https://openlibrary.org/works/OL16173818W)",https://covers.openlibrary.org/b/id/9246467-L.jpg
